"","lambdas","alpha_intra","alpha_generic","gamma_H_generic","gamma_FV_generic","focal","year","complexity.plant","complexity.animal"
"2096",0.860546394677609,-0.0305926212992716,-0.0650317792732062,-0.0306449584703737,0.10425637152529,"LEMA","All","class","group"
"2097",0.845722153088319,0.0907535629150447,0.00357483888258692,-0.00434345116186292,0.110970468088293,"LEMA","All","class","group"
"2098",0.846579061896169,-0.0276852679579052,0.0440689734205362,-0.0165171816782895,0.186228104134464,"LEMA","All","class","group"
"2099",0.862764205437139,-0.167069888669735,-0.044755082941405,0.0182914361833719,0.0188987917465814,"LEMA","All","class","group"
"2100",0.85989726956373,-0.157940768038843,-0.028951530155011,-0.0615121714265978,0.230629530022145,"LEMA","All","class","group"
"2101",0.855609973105858,0.0217742134563124,-0.0227526870874056,-0.000265847156041735,0.150344553669084,"LEMA","All","class","group"
"2102",0.858754016419464,-0.0783812305298163,-0.0305268704069965,-0.00415024252027625,-0.00426224262586049,"LEMA","All","class","group"
"2103",0.840346697478261,-0.0809455293140692,0.0164273781797561,0.09809329474807,0.0777567986475818,"LEMA","All","class","group"
"2104",0.829725254467186,-0.0186248030595428,0.0565766802545027,0.140809098945266,0.12026158272181,"LEMA","All","class","group"
"2105",0.84791036427806,0.0262742995795726,-0.00180809331470211,0.0190406910771893,0.154071880555501,"LEMA","All","class","group"
"2106",0.842604204029932,0.0579071438881429,0.0258532259504534,-0.024776075365342,0.154040496124658,"LEMA","All","class","group"
"2107",0.857409982890053,-0.0630419631808098,-0.0416129834959192,-0.0451634958203959,0.0890593856024909,"LEMA","All","class","group"
"2108",0.845519920418052,-0.166774731887307,-0.00384499293353113,-0.0744789255807035,0.27160091602813,"LEMA","All","class","group"
"2109",0.859768397449855,-0.137895322768709,-0.0443349816768026,-0.00154573550544181,0.0748212777684334,"LEMA","All","class","group"
"2110",0.848642572495167,-0.11604071250467,0.0121911861898152,-0.0130027327963397,0.136789395107493,"LEMA","All","class","group"
"2111",0.850434192313318,-0.111976194106673,0.027570599558965,-0.00151934950776887,0.102597540427848,"LEMA","All","class","group"
"2112",0.860675200522105,-0.183123442340686,-0.0150616132355612,0.00417415652818325,0.109882822258374,"LEMA","All","class","group"
