"","focal","year","complexity.plant","parameter","positive.perc","neg.perc","null.perc","positive.perc_hat","neg.perc_hat","null.perc_hat","positive.perc_mean","positive.perc_var","neg.perc_mean","neg.perc_var","mean.estimate","median.estimate","ten.estimate","ninety.estimate","var.estimate","mean.estimate_hat","median.estimate_hat","ten.estimate_hat","ninety.estimate_hat","var.estimate_hat","positive.perc_overall"
"45","LEMA",2019,"code.plant","Intraspecific",0.63975,0.36025,0,0,0,0,0.352749999999998,0.0523509906869064,0.647250000000001,0.0523509906869064,0.0347755733562384,0.0329789545071538,-0.0792442022241949,0.149123289948239,0.00960352922117205,NA,NA,NA,NA,NA,0
"46","LEMA",2019,"code.plant","Plant - plant",0,1,0,0,0,0,0.352749999999998,0.0523509906869064,0.647250000000001,0.0523509906869064,-0.338681471720354,-0.340573322811488,-0.37680380210236,-0.29953486491107,0.00109379206502642,NA,NA,NA,NA,NA,0
"47","LEMA",2019,"code.plant","Plant - herbivore",0.371,0.629,0,0,0,0,0.352749999999998,0.0523509906869064,0.647250000000001,0.0523509906869064,-0.0143545424188142,-0.015220679839098,-0.0662722666978186,0.0393954945093291,0.00208812826056153,NA,NA,NA,NA,NA,0
"48","LEMA",2019,"code.plant","Plant - floral visitor",0.40025,0.59975,0,0,0,0,0.352749999999998,0.0523509906869064,0.647250000000001,0.0523509906869064,-0.00650964874373017,-0.0065040495,-0.0377000044,0.0243807396,0.000698197194856521,NA,NA,NA,NA,NA,0
"49","LEMA",2020,"class","Intraspecific",0.5495,0.4505,0,0,0,0,0.630062500000015,0.136146770891943,0.369937500000009,0.136146770891938,0.0102573187254595,0.0116740455393874,-0.0909066697417665,0.110370484953071,0.00727529451381572,NA,NA,NA,NA,NA,0.2438125
"50","LEMA",2020,"class","Plant - plant",0.0615,0.9385,0,0,1,0,0.630062500000015,0.136146770891943,0.369937500000009,0.136146770891938,-0.0711484630802749,-0.0710541077494043,-0.12382390777566,-0.018264824897614,0.00201616834972752,-0.310310418889732,-0.311117834407456,-0.373384940969848,-0.247708108375823,0.00290772788785259,0.2438125
"51","LEMA",2020,"class","Plant - herbivore",1,0,0,0.97525,0.02475,0,0.630062500000015,0.136146770891943,0.369937500000009,0.136146770891938,0.308484720680643,0.309293948697043,0.23720428210425,0.379100954047492,0.00366774609645529,0.157699531435781,0.156586470983865,0.0678254879569787,0.247252377236199,0.00601844620793372,0.2438125
"52","LEMA",2020,"class","Plant - floral visitor",0.90925,0.09075,0,0,0,0,0.630062500000015,0.136146770891943,0.369937500000009,0.136146770891938,0.0662015108593775,0.064530885,0.00798059088,0.125272132,0.00240302132207071,NA,NA,NA,NA,NA,0.2438125
"53","LEMA",2020,"family","Intraspecific",0.5335,0.4665,0,0,0,0,0.588312500000014,0.141723525689073,0.411687500000013,0.141723525689055,0.00620227318984863,0.00679215982057146,-0.0854318535883256,0.0973243541089604,0.00623901049463645,NA,NA,NA,NA,NA,0
"54","LEMA",2020,"family","Plant - plant",0.00325,0.99675,0,0,1,0,0.588312500000014,0.141723525689073,0.411687500000013,0.141723525689055,-0.131148101852695,-0.131163148662299,-0.190797806066931,-0.071657135788619,0.00252178739322543,-0.232985737498976,-0.232432544222457,-0.297249617946666,-0.170927307540979,0.00286754847115787,0
