focal,plot,year,complexity,nobs,Moran.I,statistic,observedrank,alternativeH,npermutation,pvalue,significance
HOMA,7,2020,code.plant,23,-0.060703466,-0.060703466,12,less,99,0.12,
HOMA,8,2020,code.plant,26,-0.012926576,-0.012926576,91,less,99,0.91,
HOMA,1,2021,class,9,-0.165776139,-0.165776139,11.5,less,99,0.115,
HOMA,3,2021,class,33,-0.035342446,-0.035342446,45,less,99,0.45,
HOMA,4,2021,class,32,-0.04454402,-0.04454402,22,less,99,0.22,
HOMA,5,2021,class,31,-0.038520087,-0.038520087,29,less,99,0.29,
HOMA,6,2021,class,24,-0.071741751,-0.071741751,2,less,99,0.02,*
HOMA,7,2021,class,29,-0.074487441,-0.074487441,1,less,99,0.01,*
HOMA,8,2021,class,26,-0.065892609,-0.065892609,5,less,99,0.05,
HOMA,9,2021,class,13,-0.120613632,-0.120613632,7,less,99,0.07,
HOMA,1,2021,family,9,-0.166227983,-0.166227983,12,less,99,0.12,
HOMA,3,2021,family,33,-0.03540993,-0.03540993,38,less,99,0.38,
HOMA,4,2021,family,32,-0.044711139,-0.044711139,18,less,99,0.18,
HOMA,5,2021,family,31,-0.038144633,-0.038144633,37,less,99,0.37,
HOMA,6,2021,family,24,-0.071198053,-0.071198053,5,less,99,0.05,
HOMA,7,2021,family,29,-0.074144604,-0.074144604,2,less,99,0.02,*
HOMA,8,2021,family,26,-0.065196903,-0.065196903,10,less,99,0.1,
HOMA,9,2021,family,13,-0.122489878,-0.122489878,7,less,99,0.07,
HOMA,1,2021,code.plant,9,-0.165556335,-0.165556335,11,less,99,0.11,
HOMA,3,2021,code.plant,33,-0.035906506,-0.035906506,37,less,99,0.37,
HOMA,4,2021,code.plant,32,-0.044039172,-0.044039172,20,less,99,0.2,
HOMA,5,2021,code.plant,31,-0.038179524,-0.038179524,36,less,99,0.36,
HOMA,6,2021,code.plant,24,-0.071354077,-0.071354077,5,less,99,0.05,
HOMA,7,2021,code.plant,29,-0.073332618,-0.073332618,2,less,99,0.02,*
HOMA,8,2021,code.plant,26,-0.065795695,-0.065795695,5,less,99,0.05,
HOMA,9,2021,code.plant,13,-0.119935032,-0.119935032,7,less,99,0.07,
CHFU,1,2019,class,32,-0.020235356,-0.020235356,87,less,99,0.87,
CHFU,2,2019,class,29,-0.005707493,-0.005707493,99,less,99,0.99,
CHFU,3,2019,class,34,-0.048038109,-0.048038109,7,less,99,0.07,
CHFU,4,2019,class,27,-0.043647077,-0.043647077,35,less,99,0.35,
CHFU,5,2019,class,20,-0.041877139,-0.041877139,69,less,99,0.69,
CHFU,6,2019,class,32,-0.039081359,-0.039081359,30,less,99,0.3,
CHFU,7,2019,class,19,-0.06062056,-0.06062056,40,less,99,0.4,
CHFU,8,2019,class,23,-0.060410873,-0.060410873,21,less,99,0.21,
CHFU,9,2019,class,36,-0.050277509,-0.050277509,5,less,99,0.05,
CHFU,1,2019,family,32,-0.020870827,-0.020870827,88,less,99,0.88,
CHFU,2,2019,family,29,-0.005205877,-0.005205877,94,less,99,0.94,
CHFU,3,2019,family,34,-0.049129245,-0.049129245,6,less,99,0.06,
CHFU,4,2019,family,27,-0.043715217,-0.043715217,42,less,99,0.42,
CHFU,5,2019,family,20,-0.042231068,-0.042231068,62,less,99,0.62,
CHFU,6,2019,family,32,-0.038615928,-0.038615928,47,less,99,0.47,
CHFU,7,2019,family,19,-0.061199718,-0.061199718,46,less,99,0.46,
CHFU,8,2019,family,23,-0.057758402,-0.057758402,22,less,99,0.22,
CHFU,9,2019,family,36,-0.04872204,-0.04872204,4,less,99,0.04,*
CHFU,1,2019,code.plant,32,-0.020638433,-0.020638433,82,less,99,0.82,
CHFU,2,2019,code.plant,29,-0.004805437,-0.004805437,97,less,99,0.97,
CHFU,3,2019,code.plant,34,-0.049158912,-0.049158912,9,less,99,0.09,
CHFU,4,2019,code.plant,27,-0.043309862,-0.043309862,40,less,99,0.4,
CHFU,5,2019,code.plant,20,-0.042703063,-0.042703063,72,less,99,0.72,
CHFU,6,2019,code.plant,32,-0.038606337,-0.038606337,39,less,99,0.39,
CHFU,7,2019,code.plant,19,-0.06071919,-0.06071919,47,less,99,0.47,
CHFU,8,2019,code.plant,23,-0.058326795,-0.058326795,16,less,99,0.16,
CHFU,9,2019,code.plant,36,-0.049866754,-0.049866754,8,less,99,0.08,
CHFU,1,2020,class,15,-0.092212022,-0.092212022,29,less,99,0.29,
CHFU,2,2020,class,18,-0.056349911,-0.056349911,58,less,99,0.58,
CHFU,3,2020,class,12,-0.040615776,-0.040615776,91,less,99,0.91,
CHFU,4,2020,class,5,-0.339437523,-0.339437523,36,less,99,0.36,
CHFU,5,2020,class,6,-0.182513942,-0.182513942,56.5,less,99,0.565,
CHFU,7,2020,class,26,-0.01344547,-0.01344547,95,less,99,0.95,
CHFU,8,2020,class,36,-0.010716823,-0.010716823,92,less,99,0.92,
CHFU,9,2020,class,31,-0.038980255,-0.038980255,32,less,99,0.32,
CHFU,1,2020,family,15,-0.092395837,-0.092395837,14,less,99,0.14,
CHFU,2,2020,family,18,-0.056150269,-0.056150269,71,less,99,0.71,
CHFU,3,2020,family,12,-0.042441176,-0.042441176,87,less,99,0.87,
CHFU,4,2020,family,5,-0.343300301,-0.343300301,38,less,99,0.38,
CHFU,5,2020,family,6,-0.18097969,-0.18097969,59.5,less,99,0.595,
CHFU,7,2020,family,26,-0.017875837,-0.017875837,90,less,99,0.9,
CHFU,8,2020,family,36,-0.010530555,-0.010530555,97,less,99,0.97,
CHFU,9,2020,family,31,-0.03860963,-0.03860963,32,less,99,0.32,
CHFU,1,2020,code.plant,15,-0.092756531,-0.092756531,18,less,99,0.18,
CHFU,2,2020,code.plant,18,-0.056234161,-0.056234161,70,less,99,0.7,
CHFU,3,2020,code.plant,12,-0.039321184,-0.039321184,83,less,99,0.83,
CHFU,4,2020,code.plant,5,-0.34178877,-0.34178877,39,less,99,0.39,
CHFU,5,2020,code.plant,6,-0.198499298,-0.198499298,57.5,less,99,0.575,
CHFU,7,2020,code.plant,26,-0.016675495,-0.016675495,84,less,99,0.84,
CHFU,8,2020,code.plant,36,-0.010075406,-0.010075406,92,less,99,0.92,
CHFU,9,2020,code.plant,31,-0.038522989,-0.038522989,34,less,99,0.34,
CHFU,1,2021,class,18,-0.070828847,-0.070828847,18,less,99,0.18,
CHFU,2,2021,class,9,-0.125,-0.125,9.5,less,99,0.095,
CHFU,3,2021,class,5,-0.25,-0.25,59,less,99,0.59,
CHFU,5,2021,class,8,-0.11973857,-0.11973857,72,less,99,0.72,
CHFU,6,2021,class,12,-0.103306996,-0.103306996,35,less,99,0.35,
CHFU,7,2021,class,9,-0.246027489,-0.246027489,4,less,99,0.04,*
CHFU,8,2021,class,33,-0.048652035,-0.048652035,5,less,99,0.05,
CHFU,9,2021,class,23,-0.03232779,-0.03232779,89,less,99,0.89,
CHFU,1,2021,family,18,-0.072206545,-0.072206545,13,less,99,0.13,
CHFU,2,2021,family,9,-0.125,-0.125,19,less,99,0.19,
CHFU,3,2021,family,5,-0.25,-0.25,50.5,less,99,0.505,
CHFU,5,2021,family,8,-0.123249154,-0.123249154,69,less,99,0.69,
CHFU,6,2021,family,12,-0.103230513,-0.103230513,38,less,99,0.38,
CHFU,7,2021,family,9,-0.22361649,-0.22361649,7,less,99,0.07,
CHFU,8,2021,family,33,-0.048552392,-0.048552392,7,less,99,0.07,
CHFU,9,2021,family,23,-0.031053195,-0.031053195,91,less,99,0.91,
CHFU,1,2021,code.plant,18,-0.070297211,-0.070297211,25,less,99,0.25,
CHFU,2,2021,code.plant,9,-0.125,-0.125,67.5,less,99,0.675,
CHFU,3,2021,code.plant,5,-0.25,-0.25,47,less,99,0.47,
CHFU,5,2021,code.plant,8,-0.119785549,-0.119785549,70,less,99,0.7,
CHFU,6,2021,code.plant,12,-0.103434264,-0.103434264,39,less,99,0.39,
CHFU,7,2021,code.plant,9,-0.231891505,-0.231891505,6,less,99,0.06,
CHFU,8,2021,code.plant,33,-0.047804761,-0.047804761,9,less,99,0.09,
CHFU,9,2021,code.plant,23,-0.033733071,-0.033733071,73,less,99,0.73,
LEMA,1,2019,class,36,-0.033274435,-0.033274435,40,less,99,0.4,
LEMA,2,2019,class,36,-0.023127562,-0.023127562,70,less,99,0.7,
LEMA,3,2019,class,36,-0.024054655,-0.024054655,60,less,99,0.6,
LEMA,4,2019,class,32,-0.03672626,-0.03672626,43,less,99,0.43,
LEMA,5,2019,class,30,-0.021615401,-0.021615401,88,less,99,0.88,
LEMA,6,2019,class,35,-0.007413474,-0.007413474,96,less,99,0.96,
LEMA,7,2019,class,32,-0.034263457,-0.034263457,45,less,99,0.45,
LEMA,8,2019,class,29,-0.045212996,-0.045212996,30,less,99,0.3,
